"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"A-R4-U1-L2vsL5";"2022-06-17";"12:45:00";"V3";"7flkk";"A-R4";"ÍBV 1";"Keflavík 1";"1"
"A-R4-U2-L5vsL3";"2022-06-17";"13:15:00";"V4";"7flkk";"A-R4";"Keflavík 1";"VíkingurR 1";"1"
"A-R4-U3-L4vsL5";"2022-06-17";"13:45:00";"V4";"7flkk";"A-R4";"KR 1";"Keflavík 1";"1"
"A-R4-U5-L5vsL1";"2022-06-17";"14:45:00";"V3";"7flkk";"A-R4";"Keflavík 1";"Grótta 1";"1"
"B-R2-U1-L3vsL4";"2022-06-17";"15:30:00";"V2";"7flkk";"B-R2";"Keflavík 2";"KR 3";"2"
"B-R2-U2-L5vsL3";"2022-06-17";"16:00:00";"V2";"7flkk";"B-R2";"ÍR 1";"Keflavík 2";"2"
"B-R2-U3-L3vsL1";"2022-06-17";"16:30:00";"V1";"7flkk";"B-R2";"Keflavík 2";"Breiðablik 2";"2"
"B-R2-U4-L2vsL3";"2022-06-17";"17:00:00";"V1";"7flkk";"B-R2";"Snæfellsnes 1";"Keflavík 2";"2"
"C-R3-U1-L3vsL4";"2022-06-17";"15:15:00";"V10";"7flkk";"C-R3";"Valur 2";"Keflavík 3";"3"
"C-R3-U3-L4vsL5";"2022-06-17";"16:15:00";"V10";"7flkk";"C-R3";"Keflavík 3";"Afturelding 3";"3"
"C-R3-U4-L1vsL4";"2022-06-17";"16:45:00";"V10";"7flkk";"C-R3";"Stjarnan 6";"Keflavík 3";"3"
"C-R3-U5-L4vsL2";"2022-06-17";"17:15:00";"V10";"7flkk";"C-R3";"Keflavík 3";"KR 6";"3"
"D-R1-U2-L1vsL2";"2022-06-17";"13:00:00";"V7";"7flkk";"D-R1";"Keflavík 4";"Afturelding 4";"4"
"D-R1-U3-L3vsL1";"2022-06-17";"13:30:00";"V7";"7flkk";"D-R1";"Breiðablik 6";"Keflavík 4";"4"
"D-R1-U4-L1vsL4";"2022-06-17";"14:00:00";"V8";"7flkk";"D-R1";"Keflavík 4";"Njarðvík 3";"4"
"D-R1-U5-L5vsL1";"2022-06-17";"14:30:00";"V7";"7flkk";"D-R1";"KR 7";"Keflavík 4";"4"
"E-R6-U1-L2vsL5";"2022-06-17";"12:45:00";"V17";"7flkk";"E-R6";"Breiðablik 8";"Keflavík 5";"5"
"E-R6-U2-L5vsL3";"2022-06-17";"13:15:00";"V18";"7flkk";"E-R6";"Keflavík 5";"UMFS Dalvík 2";"5"
"E-R6-U3-L4vsL5";"2022-06-17";"13:45:00";"V18";"7flkk";"E-R6";"Stjarnan 10";"Keflavík 5";"5"
"E-R6-U5-L5vsL1";"2022-06-17";"14:45:00";"V17";"7flkk";"E-R6";"Keflavík 5";"ÍA 5";"5"
"F-R3-U1-L2vsL5";"2022-06-17";"15:15:00";"V15";"7flkk";"F-R3";"Keflavík 6";"Breiðablik 9";"6"
"F-R3-U2-L1vsL2";"2022-06-17";"15:45:00";"V15";"7flkk";"F-R3";"VíkingurR 7";"Keflavík 6";"6"
"F-R3-U4-L2vsL3";"2022-06-17";"16:45:00";"V15";"7flkk";"F-R3";"Keflavík 6";"ÍA 6";"6"
"F-R3-U5-L4vsL2";"2022-06-17";"17:15:00";"V16";"7flkk";"F-R3";"Stjarnan 12";"Keflavík 6";"6"
"G-R3-U1-L2vsL5";"2022-06-17";"12:30:00";"V5";"7flkk";"G-R3";"Keflavík 7";"Njarðvík 6";"7"
"G-R3-U2-L1vsL2";"2022-06-17";"13:00:00";"V5";"7flkk";"G-R3";"Tindastóll 2";"Keflavík 7";"7"
"G-R3-U4-L2vsL3";"2022-06-17";"14:00:00";"V5";"7flkk";"G-R3";"Keflavík 7";"Haukar 5";"7"
"G-R3-U5-L4vsL2";"2022-06-17";"14:30:00";"V6";"7flkk";"G-R3";"FH 8";"Keflavík 7";"7"
"G-R5-U1-L2vsL5";"2022-06-17";"12:30:00";"V11";"7flkk";"G-R5";"Fjölnir 11";"Keflavík 8";"8"
"G-R5-U2-L5vsL3";"2022-06-17";"13:00:00";"V12";"7flkk";"G-R5";"Keflavík 8";"Haukar 4";"8"
"G-R5-U3-L4vsL5";"2022-06-17";"13:30:00";"V12";"7flkk";"G-R5";"ÍR 5";"Keflavík 8";"8"
"G-R5-U5-L5vsL1";"2022-06-17";"14:30:00";"V11";"7flkk";"G-R5";"Keflavík 8";"Hamar 3";"8"
