"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"A-R2-U1-L3vsL4";"2022-06-17";"12:45:00";"V2";"7flkk";"A-R2";"Selfoss 1";"Þór Ak.";"1"
"A-R2-U3-L4vsL5";"2022-06-17";"13:45:00";"V2";"7flkk";"A-R2";"Þór Ak.";"Afturelding 1";"1"
"A-R2-U4-L1vsL4";"2022-06-17";"14:15:00";"V2";"7flkk";"A-R2";"Stjarnan 1";"Þór Ak.";"1"
"A-R2-U5-L4vsL2";"2022-06-17";"14:45:00";"V2";"7flkk";"A-R2";"Þór Ak.";"Fjölnir 1";"1"
"B-R1-U2-L1vsL2";"2022-06-17";"15:45:00";"V1";"7flkk";"B-R1";"Þór Ak.";"Stjarnan 2";"2"
"B-R1-U3-L3vsL1";"2022-06-17";"16:15:00";"V1";"7flkk";"B-R1";"KA 2";"Þór Ak.";"2"
"B-R1-U4-L1vsL4";"2022-06-17";"16:45:00";"V2";"7flkk";"B-R1";"Þór Ak.";"Þróttur R 2";"2"
"B-R1-U5-L5vsL1";"2022-06-17";"17:15:00";"V1";"7flkk";"B-R1";"VíkingurR 2";"Þór Ak.";"2"
"C-R6-U1-L2vsL5";"2022-06-17";"15:30:00";"V11";"7flkk";"C-R6";"Þór Ak.";"Breiðablik 5";"3"
"C-R6-U2-L1vsL2";"2022-06-17";"16:00:00";"V11";"7flkk";"C-R6";"Leiknir R 1";"Þór Ak.";"3"
"C-R6-U4-L2vsL3";"2022-06-17";"17:00:00";"V11";"7flkk";"C-R6";"Þór Ak.";"Njarðvík 2";"3"
"C-R6-U5-L4vsL2";"2022-06-17";"17:30:00";"V12";"7flkk";"C-R6";"Stjarnan 5";"Þór Ak.";"3"
"E-R1-U1-L3vsL4";"2022-06-17";"12:30:00";"V14";"7flkk";"E-R1";"Þór Ak.";"Fylkir 5";"4"
"E-R1-U2-L5vsL3";"2022-06-17";"13:00:00";"V14";"7flkk";"E-R1";"VíkingurR 5";"Þór Ak.";"4"
"E-R1-U3-L3vsL1";"2022-06-17";"13:30:00";"V13";"7flkk";"E-R1";"Þór Ak.";"Álftanes 2";"4"
"E-R1-U4-L2vsL3";"2022-06-17";"14:00:00";"V13";"7flkk";"E-R1";"Valur 5";"Þór Ak.";"4"
"F-R6-U1-L3vsL4";"2022-06-17";"15:30:00";"V18";"7flkk";"F-R6";"Þór Ak.";"Afturelding 7";"5"
"F-R6-U2-L5vsL3";"2022-06-17";"16:00:00";"V18";"7flkk";"F-R6";"FH 6";"Þór Ak.";"5"
"F-R6-U3-L3vsL1";"2022-06-17";"16:30:00";"V17";"7flkk";"F-R6";"Þór Ak.";"Grótta 5";"5"
"F-R6-U4-L2vsL3";"2022-06-17";"17:00:00";"V17";"7flkk";"F-R6";"ÍR 4";"Þór Ak.";"5"
"G-R2-U1-L3vsL4";"2022-06-17";"12:45:00";"V20";"7flkk";"G-R2";"ÍBV 6";"Þór Ak.";"6"
"G-R2-U3-L4vsL5";"2022-06-17";"13:45:00";"V20";"7flkk";"G-R2";"Þór Ak.";"Fjölnir 10";"6"
"G-R2-U4-L1vsL4";"2022-06-17";"14:15:00";"V20";"7flkk";"G-R2";"Selfoss 3";"Þór Ak.";"6"
"G-R2-U5-L4vsL2";"2022-06-17";"14:45:00";"V20";"7flkk";"G-R2";"Þór Ak.";"HK 6";"6"
