"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"A-R3-U1-L2vsL5";"2022-06-17";"12:30:00";"V3";"7flkk";"A-R3";"Þróttur R 1";"KA 1";"1"
"A-R3-U2-L5vsL3";"2022-06-17";"13:00:00";"V4";"7flkk";"A-R3";"KA 1";"Grindavík 1";"1"
"A-R3-U3-L4vsL5";"2022-06-17";"13:30:00";"V4";"7flkk";"A-R3";"Breiðablik 1";"KA 1";"1"
"A-R3-U5-L5vsL1";"2022-06-17";"14:30:00";"V3";"7flkk";"A-R3";"KA 1";"FH 1";"1"
"B-R1-U1-L3vsL4";"2022-06-17";"15:15:00";"V2";"7flkk";"B-R1";"KA 2";"Þróttur R 2";"2"
"B-R1-U2-L5vsL3";"2022-06-17";"15:45:00";"V2";"7flkk";"B-R1";"VíkingurR 2";"KA 2";"2"
"B-R1-U3-L3vsL1";"2022-06-17";"16:15:00";"V1";"7flkk";"B-R1";"KA 2";"Þór Ak.";"2"
"B-R1-U4-L2vsL3";"2022-06-17";"16:45:00";"V1";"7flkk";"B-R1";"Stjarnan 2";"KA 2";"2"
"C-R2-U1-L3vsL4";"2022-06-17";"15:30:00";"V8";"7flkk";"C-R2";"FH 3";"KA 3";"3"
"C-R2-U3-L4vsL5";"2022-06-17";"16:30:00";"V8";"7flkk";"C-R2";"KA 3";"Reynir/Víðir 1";"3"
"C-R2-U4-L1vsL4";"2022-06-17";"17:00:00";"V8";"7flkk";"C-R2";"Selfoss 2";"KA 3";"3"
"C-R2-U5-L4vsL2";"2022-06-17";"17:30:00";"V8";"7flkk";"C-R2";"KA 3";"Stjarnan 7";"3"
"E-R3-U1-L3vsL4";"2022-06-17";"12:30:00";"V16";"7flkk";"E-R3";"Fjölnir 6";"KA 4";"4"
"E-R3-U3-L4vsL5";"2022-06-17";"13:30:00";"V16";"7flkk";"E-R3";"KA 4";"ÍBV 4";"4"
"E-R3-U4-L1vsL4";"2022-06-17";"14:00:00";"V16";"7flkk";"E-R3";"Stjarnan 11";"KA 4";"4"
"E-R3-U5-L4vsL2";"2022-06-17";"14:30:00";"V16";"7flkk";"E-R3";"KA 4";"Afturelding 5";"4"
