"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"A-R1-U1-L3vsL4";"2022-06-17";"12:30:00";"V2";"7flkk";"A-R1";"Valur 1";"HK 1";"1"
"A-R1-U2-L5vsL3";"2022-06-17";"13:00:00";"V2";"7flkk";"A-R1";"Fylkir 1";"Valur 1";"1"
"A-R1-U3-L3vsL1";"2022-06-17";"13:30:00";"V1";"7flkk";"A-R1";"Valur 1";"ÍA 1";"1"
"A-R1-U4-L2vsL3";"2022-06-17";"14:00:00";"V1";"7flkk";"A-R1";"Fram 1";"Valur 1";"1"
"C-R3-U1-L3vsL4";"2022-06-17";"15:15:00";"V10";"7flkk";"C-R3";"Valur 2";"Keflavík 3";"2"
"C-R3-U2-L5vsL3";"2022-06-17";"15:45:00";"V10";"7flkk";"C-R3";"Afturelding 3";"Valur 2";"2"
"C-R3-U3-L3vsL1";"2022-06-17";"16:15:00";"V9";"7flkk";"C-R3";"Valur 2";"Stjarnan 6";"2"
"C-R3-U4-L2vsL3";"2022-06-17";"16:45:00";"V9";"7flkk";"C-R3";"KR 6";"Valur 2";"2"
"C-R5-U1-L3vsL4";"2022-06-17";"15:15:00";"V12";"7flkk";"C-R5";"Valur 3";"Fram 2";"3"
"C-R5-U2-L5vsL3";"2022-06-17";"15:45:00";"V12";"7flkk";"C-R5";"KF 1";"Valur 3";"3"
"C-R5-U3-L3vsL1";"2022-06-17";"16:15:00";"V11";"7flkk";"C-R5";"Valur 3";"Afturelding 2";"3"
"C-R5-U4-L2vsL3";"2022-06-17";"16:45:00";"V11";"7flkk";"C-R5";"Breiðablik 4";"Valur 3";"3"
"E-R5-U1-L2vsL5";"2022-06-17";"12:30:00";"V17";"7flkk";"E-R5";"ÍA 4";"Valur 4";"4"
"E-R5-U2-L5vsL3";"2022-06-17";"13:00:00";"V18";"7flkk";"E-R5";"Valur 4";"FH 4";"4"
"E-R5-U3-L4vsL5";"2022-06-17";"13:30:00";"V18";"7flkk";"E-R5";"VíkingurR 6";"Valur 4";"4"
"E-R5-U5-L5vsL1";"2022-06-17";"14:30:00";"V17";"7flkk";"E-R5";"Valur 4";"Breiðablik 7";"4"
"E-R1-U1-L2vsL5";"2022-06-17";"12:30:00";"V13";"7flkk";"E-R1";"Valur 5";"VíkingurR 5";"5"
"E-R1-U2-L1vsL2";"2022-06-17";"13:00:00";"V13";"7flkk";"E-R1";"Álftanes 2";"Valur 5";"5"
"E-R1-U4-L2vsL3";"2022-06-17";"14:00:00";"V13";"7flkk";"E-R1";"Valur 5";"Þór Ak.";"5"
"E-R1-U5-L4vsL2";"2022-06-17";"14:30:00";"V14";"7flkk";"E-R1";"Fylkir 5";"Valur 5";"5"
"F-R1-U1-L3vsL4";"2022-06-17";"15:15:00";"V14";"7flkk";"F-R1";"Valur 6";"KR 9";"6"
"F-R1-U2-L5vsL3";"2022-06-17";"15:45:00";"V14";"7flkk";"F-R1";"Breiðablik 11";"Valur 6";"6"
"F-R1-U3-L3vsL1";"2022-06-17";"16:15:00";"V13";"7flkk";"F-R1";"Valur 6";"Fjölnir 9";"6"
"F-R1-U4-L2vsL3";"2022-06-17";"16:45:00";"V13";"7flkk";"F-R1";"HK 5";"Valur 6";"6"
